id;votes;priority;severity;precedence
338819;30;0.6;0.1;
127549;95;0.6;0.1;
122195;27;0.6;0.1;
330750;48;0.6;0.1;
219892;6;0.6;0.1;
166670;42;0.6;0.1;
338369;39;0.6;0.7;
126811;29;0.6;0.1;
346464;44;0.6;0.4;
171183;61;0.6;0.1;
333329;55;0.6;0.55;
148390;59;0.6;0.1;
121088;24;0.6;0.1;
201057;89;0.6;0.1;
328104;53;0.6;0.4;
333199;49;0.6;0.1;
242704;57;0.6;0.1;
344481;48;0.6;0.4;
338111;26;0.6;0.4;
338113;70;0.6;0.4;
124361;31;0.6;0.1;
283145;29;0.6;0.1;
203355;47;0.6;0.1;
111553;67;0.6;0.1;
186079;13;0.6;0.1;
196808;22;0.6;0.1;
296932;38;0.6;0.1;
324129;20;0.6;0.4;
342006;43;0.6;0.1;
331929;42;0.6;0.4;
343329;133;0.6;0.7;
333636;5;0.6;0.1;
337731;26;0.6;0.1;
331688;37;0.6;0.1;
179775;44;0.6;0.1;
338442;34;0.6;0.4;
315519;65;0.6;0.1;
337641;23;0.6;0.4;
315806;44;0.6;0.4;
335988;23;0.6;0.25;
145664;93;0.6;0.4;
205447;53;0.6;0.4;
341196;42;0.6;0.7;
119787;24;0.6;0.1;
177019;35;0.6;0.1;
221603;69;0.6;0.1;
201055;13;0.6;0.1;
339627;33;0.6;0.55;
324386;43;0.6;0.4;
339066;80;0.6;0.4;
344374;47;0.6;0.4;
338236;5;0.6;0.4;
141855;45;0.6;0.1;
315189;30;0.6;0.25;
241129;69;0.6;0.1;
323815;57;0.6;0.4;
316975;5;0.6;0.4;
216689;38;0.6;0.1;
127812;24;0.6;0.1;
154899;51;0.6;0.1;
339603;37;0.6;0.85;
326064;2;0.6;0.4;
336547;38;0.6;0.25;
325877;87;0.6;0.4;
288413;31;0.6;0.1;
198625;40;0.6;0.1;
292766;25;0.6;0.1;
171163;31;0.6;0.1;
334028;7;0.6;0.4;
343286;69;0.6;0.4;
207533;29;0.6;0.1;
126740;19;0.6;0.1;
172630;23;0.6;0.25;
311608;47;0.6;0.4;
324940;4;0.6;0.1;
160988;9;0.6;0.1;
135737;123;0.6;0.1;
168683;52;0.6;0.1;
140514;10;0.6;0.1;
329555;32;0.6;0.4;
181991;44;0.8;0.1;
318595;0;0.6;0.4;
332281;0;0.6;0.55;
244090;0;0.6;0.1;
113546;0;0.6;0.1;
317576;0;0.6;0.4;
284474;60;0.6;0.1;
153197;0;0.6;0.1;
128193;1;0.6;0.1;
187408;20;0.6;0.4;
